"TabName","Address","Row","Col","Formula","Value","NumFmt","Bold","Italic","FillRGB"
"Exhibit 2","K7","7","11","","Non-Sales","General","False","False",""
"Exhibit 2","L7","7","12","","3","General","False","False",""
"Exhibit 2","M7","7","13","","0.1","0.0%","False","False",""
"Exhibit 2","N7","7","14","","0.30000000000000004","#,##0.00","False","False",""
"Exhibit 2","O7","7","15","","3.333333333333333","#,##0.00","False","False",""
"Exhibit 2","B8","8","2","","Total Staff","General","True","False",""
"Exhibit 2","C8","8","3","'Staffing Expense'!G14","11","#,##0","True","False",""
"Exhibit 2","D8","8","4","'Staffing Expense'!L14","32","#,##0","True","False",""
"Exhibit 2","E8","8","5","'Staffing Expense'!Q14","46","#,##0","True","False",""
"Exhibit 2","F8","8","6","'Staffing Expense'!V14","59","#,##0","True","False",""
"Exhibit 2","G8","8","7","'Staffing Expense'!AA14","74","#,##0","True","False",""
"Exhibit 2","J8","8","10","","Finance","General","False","False",""
"Exhibit 2","K8","8","11","","Non-Sales","General","False","False",""
"Exhibit 2","L8","8","12","","2","General","False","False",""
"Exhibit 2","M8","8","13","","0.3","0.0%","False","False",""
"Exhibit 2","N8","8","14","","0.6","#,##0.00","False","False",""
"Exhibit 2","O8","8","15","","1.6666666666666667","#,##0.00","False","False",""
"Exhibit 2","J9","9","10","","Underwriting","General","False","False",""
"Exhibit 2","K9","9","11","","Non-Sales","General","False","False",""
"Exhibit 2","L9","9","12","","1","General","False","False",""
"Exhibit 2","M9","9","13","","0.3","0.0%","False","False",""
"Exhibit 2","N9","9","14","","0.3","#,##0.00","False","False",""
"Exhibit 2","O9","9","15","","3.3333333333333335","#,##0.00","False","False",""
"Exhibit 2","B10","10","2","","Executive : Program","General","False","False",""
"Exhibit 2","C10","10","3","C7/'Exhibit 1'!C$7","2","#,##0.0","False","False",""
"Exhibit 2","D10","10","4","D7/'Exhibit 1'!D$7","2.25","#,##0.0","False","False",""
"Exhibit 2","E10","10","5","E7/'Exhibit 1'!E$7","2.1428571428571428","#,##0.0","False","False",""
"Exhibit 2","F10","10","6","F7/'Exhibit 1'!F$7","1.8181818181818181","#,##0.0","False","False",""
"Exhibit 2","G10","10","7","G7/'Exhibit 1'!G$7","1.5142857142857142","#,##0.0","False","False",""
"Exhibit 2","J10","10","10","","Claims","General","False","False",""
"Exhibit 2","K10","10","11","","Non-Sales","General","False","False",""
"Exhibit 2","L10","10","12","","1","General","False","False",""
"Exhibit 2","M10","10","13","","0.1","0.0%","False","False",""
"Exhibit 2","N10","10","14","","0.1","#,##0.00","False","False",""
"Exhibit 2","O10","10","15","","10","#,##0.00","False","False",""
"Exhibit 2","B11","11","2","","Sales : Program","General","False","False",""
"Exhibit 2","C11","11","3","C5/'Exhibit 1'!C$7","0.66666666666666663","#,##0.0","False","False",""
"Exhibit 2","D11","11","4","D5/'Exhibit 1'!D$7","0.375","#,##0.0","False","False",""
"Exhibit 2","E11","11","5","E5/'Exhibit 1'!E$7","0.2857142857142857","#,##0.0","False","False",""
"Exhibit 2","F11","11","6","F5/'Exhibit 1'!F$7","0.22727272727272727","#,##0.0","False","False",""
"Exhibit 2","G11","11","7","G5/'Exhibit 1'!G$7","0.17142857142857143","#,##0.0","False","False",""
"Exhibit 2","J11","11","10","","Actuarial","General","False","False",""
"Exhibit 2","K11","11","11","","Non-Sales","General","False","False",""
"Exhibit 2","L11","11","12","","1","General","False","False",""
"Exhibit 2","M11","11","13","","0.25","0.0%","False","False",""
"Exhibit 2","N11","11","14","","0.25","#,##0.00","False","False",""
"Exhibit 2","O11","11","15","","4","#,##0.00","False","False",""
"Exhibit 2","B12","12","2","","Non-Sales : Program","General","False","False",""
"Exhibit 2","C12","12","3","C7/'Exhibit 1'!C$7","2","#,##0.0","False","False",""
"Exhibit 2","D12","12","4","D7/'Exhibit 1'!D$7","2.25","#,##0.0","False","False",""
"Exhibit 2","E12","12","5","E7/'Exhibit 1'!E$7","2.1428571428571428","#,##0.0","False","False",""
"Exhibit 2","F12","12","6","F7/'Exhibit 1'!F$7","1.8181818181818181","#,##0.0","False","False",""
"Exhibit 2","G12","12","7","G7/'Exhibit 1'!G$7","1.5142857142857142","#,##0.0","False","False",""
"Exhibit 2","J12","12","10","","Reinsurance","General","False","False",""
"Exhibit 2","K12","12","11","","Non-Sales","General","False","False",""
"Exhibit 2","L12","12","12","","1","General","False","False",""
"Exhibit 2","M12","12","13","","0.25","0.0%","False","False",""
"Exhibit 2","N12","12","14","","0.25","#,##0.00","False","False",""
"Exhibit 2","O12","12","15","","4","#,##0.00","False","False",""
"Exhibit 2","B13","13","2","","Total : Program","General","True","False",""
"Exhibit 2","C13","13","3","C8/'Exhibit 1'!C$7","3.6666666666666665","#,##0.0","True","False",""
"Exhibit 2","D13","13","4","D8/'Exhibit 1'!D$7","4","#,##0.0","True","False",""
"Exhibit 2","E13","13","5","E8/'Exhibit 1'!E$7","3.2857142857142856","#,##0.0","True","False",""
"Exhibit 2","F13","13","6","F8/'Exhibit 1'!F$7","2.6818181818181817","#,##0.0","True","False",""
"Exhibit 2","G13","13","7","G8/'Exhibit 1'!G$7","2.1142857142857143","#,##0.0","True","False",""
"Exhibit 2","J13","13","10","","Other","General","False","False",""
"Exhibit 2","K13","13","11","","Non-Sales","General","False","False",""
"Exhibit 2","L13","13","12","","1","General","False","False",""
"Exhibit 2","M13","13","13","","0.1","0.0%","False","False",""
"Exhibit 2","N13","13","14","","0.1","#,##0.00","False","False",""
"Exhibit 2","O13","13","15","","10","#,##0.00","False","False",""
"Exhibit 2","J14","14","10","","Total","#,##0","True","False",""
"Exhibit 2","N14","14","14","SUM(N5:N13)","2.1","0.00","True","False",""
"Exhibit 2","O14","14","15","","0.47619047619047616","#,##0.00","True","False",""
"Exhibit 2","B15","15","2","","Executive Comp","General","False","False",""
"Exhibit 2","C15","15","3","'Staffing Expense'!G60","400000","""$""0.0,,""M""","False","False",""
"Exhibit 2","D15","15","4","'Staffing Expense'!L60","798000","""$""0.0,,""M""","False","False",""
"Exhibit 2","E15","15","5","'Staffing Expense'!Q60","1234800","""$""0.0,,""M""","False","False",""
"Exhibit 2","F15","15","6","'Staffing Expense'!V60","1620675","""$""0.0,,""M""","False","False",""
"Exhibit 2","G15","15","7","'Staffing Expense'!AA60","2042050.5","""$""0.0,,""M""","False","False",""
"Exhibit 2","B16","16","2","","Sales Comp","General","False","False",""
"Exhibit 2","C16","16","3","'Staffing Expense'!G59","290000","""$""0.0,,""M""","False","False",""
"Exhibit 2","D16","16","4","'Staffing Expense'!L59","2436000","""$""0.0,,""M""","False","False",""
"Exhibit 2","E16","16","5","'Staffing Expense'!Q59","3916631.25","""$""0.0,,""M""","False","False",""
"Exhibit 2","F16","16","6","'Staffing Expense'!V59","4532101.875","""$""0.0,,""M""","False","False",""
"Exhibit 2","G16","16","7","'Staffing Expense'!AA59","5199327.984375","""$""0.0,,""M""","False","False",""
"Exhibit 2","B17","17","2","","Non-Sales Comp","General","False","False",""
"Exhibit 2","C17","17","3","SUM('Staffing Expense'!G53:G58,'Staffing Expense'!G61)","594375","""$""0.0,,""M""","False","False",""
"Exhibit 2","D17","17","4","SUM('Staffing Expense'!L53:L58,'Staffing Expense'!L61)","3352781.25","""$""0.0,,""M""","False","False",""
"Exhibit 2","E17","17","5","SUM('Staffing Expense'!Q53:Q58,'Staffing Expense'!Q61)","6509573.4375","""$""0.0,,""M""","False","False",""
"Exhibit 2","F17","17","6","SUM('Staffing Expense'!V53:V58,'Staffing Expense'!V61)","9407150.15625","""$""0.0,,""M""","False","False",""
"Exhibit 2","G17","17","7","SUM('Staffing Expense'!AA53:AA58,'Staffing Expense'!AA61)","13173048.984375","""$""0.0,,""M""","False","False",""
"Exhibit 2","B18","18","2","","Total Comp","General","True","False",""
"Exhibit 2","C18","18","3","SUM(C15:C17)","1284375","""$""0.0,,""M""","True","False",""
"Exhibit 2","D18","18","4","SUM(D15:D17)","6586781.25","""$""0.0,,""M""","True","False",""
"Exhibit 2","E18","18","5","","11661004.6875","""$""0.0,,""M""","True","False",""
"Exhibit 2","F18","18","6","","15559927.03125","""$""0.0,,""M""","True","False",""
"Exhibit 2","G18","18","7","","20414427.46875","""$""0.0,,""M""","True","False",""
"Exhibit 2","B20","20","2","","Comp : Staff","#,##0","False","False",""
"Exhibit 2","C20","20","3","C18/C8","116761.36363636363","#,##0","False","False",""
"Exhibit 2","D20","20","4","D18/D8","205836.9140625","#,##0","False","False",""
"Exhibit 2","E20","20","5","E18/E8","253500.10190217392","#,##0","False","False",""
"Exhibit 2","F20","20","6","F18/F8","263727.57680084748","#,##0","False","False",""
"Exhibit 2","G20","20","7","G18/G8","275870.64146959462","#,##0","False","False",""
"Exhibit 2","B21","21","2","","Comp : NWP","#,##0","False","False",""
"Exhibit 2","C21","21","3","C18/'Exhibit 1'!C6","3.3657625786163523","0.0%","False","False",""
"Exhibit 2","D21","21","4","D18/'Exhibit 1'!D6","1.2840730758733625","0.0%","False","False",""
"Exhibit 2","E21","21","5","E18/'Exhibit 1'!E6","0.44735555228401175","0.0%","False","False",""
"Exhibit 2","F21","21","6","F18/'Exhibit 1'!F6","0.16796828699880501","0.0%","False","False",""
"Exhibit 2","G21","21","7","G18/'Exhibit 1'!G6","8.1791528995589682E-2","0.0%","False","False",""
"Exhibit 2","B22","22","2","","GWP : Sales Comp ","General","False","False",""
"Exhibit 2","B24","24","2","","Executive","General","False","False",""
"Exhibit 2","C24","24","3","'Staffing Expense'!G12","2","#,##0","False","False",""
"Exhibit 2","D24","24","4","'Staffing Expense'!L12","3","#,##0","False","False",""
"Exhibit 2","E24","24","5","'Staffing Expense'!Q12","4","#,##0","False","False",""
"Exhibit 2","F24","24","6","'Staffing Expense'!V12","5","#,##0","False","False",""
"Exhibit 2","G24","24","7","'Staffing Expense'!AA12","6","#,##0","False","False",""
"Exhibit 2","B25","25","2","","Sales & Marketing","General","False","False",""
"Exhibit 2","C25","25","3","'Staffing Expense'!G11","3","#,##0","False","False",""
"Exhibit 2","D25","25","4","'Staffing Expense'!L11","11","#,##0","False","False",""
"Exhibit 2","E25","25","5","'Staffing Expense'!Q11","12","#,##0","False","False",""
"Exhibit 2","F25","25","6","'Staffing Expense'!V11","14","#,##0","False","False",""
"Exhibit 2","G25","25","7","'Staffing Expense'!AA11","15","#,##0","False","False",""
"Exhibit 2","B26","26","2","","Technology","General","False","False",""
"Exhibit 2","C26","26","3","'Staffing Expense'!G10","1","#,##0","False","False",""
"Exhibit 2","D26","26","4","'Staffing Expense'!L10","5","#,##0","False","False",""
"Exhibit 2","E26","26","5","'Staffing Expense'!Q10","9","#,##0","False","False",""
"Exhibit 2","F26","26","6","'Staffing Expense'!V10","13","#,##0","False","False",""
"Exhibit 2","G26","26","7","'Staffing Expense'!AA10","17","#,##0","False","False",""
"Exhibit 2","B27","27","2","","Finance","General","False","False",""
"Exhibit 2","C27","27","3","'Staffing Expense'!G9","1","#,##0","False","False",""
"Exhibit 2","D27","27","4","'Staffing Expense'!L9","3","#,##0","False","False",""
"Exhibit 2","E27","27","5","'Staffing Expense'!Q9","5","#,##0","False","False",""
"Exhibit 2","F27","27","6","'Staffing Expense'!V9","6","#,##0","False","False",""
"Exhibit 2","G27","27","7","'Staffing Expense'!AA9","8","#,##0","False","False",""
"Exhibit 2","B28","28","2","","Underwriting","General","False","False",""
"Exhibit 2","C28","28","3","'Staffing Expense'!G5","1","#,##0","False","False",""
"Exhibit 2","D28","28","4","'Staffing Expense'!L5","2","#,##0","False","False",""
"Exhibit 2","E28","28","5","'Staffing Expense'!Q5","3","#,##0","False","False",""
"Exhibit 2","F28","28","6","'Staffing Expense'!V5","4","#,##0","False","False",""
"Exhibit 2","G28","28","7","'Staffing Expense'!AA5","5","#,##0","False","False",""
"Exhibit 2","B29","29","2","","Claims","General","False","False",""
"Exhibit 2","C29","29","3","'Staffing Expense'!G6","0","#,##0","False","False",""
"Exhibit 2","D29","29","4","'Staffing Expense'!L6","1","#,##0","False","False",""
"Exhibit 2","E29","29","5","'Staffing Expense'!Q6","2","#,##0","False","False",""
"Exhibit 2","F29","29","6","'Staffing Expense'!V6","3","#,##0","False","False",""
"Exhibit 2","G29","29","7","'Staffing Expense'!AA6","5","#,##0","False","False",""
"Exhibit 2","B30","30","2","","Actuarial","General","False","False",""
"Exhibit 2","C30","30","3","'Staffing Expense'!G7","2","#,##0","False","False",""
"Exhibit 2","D30","30","4","'Staffing Expense'!L7","3","#,##0","False","False",""
"Exhibit 2","E30","30","5","'Staffing Expense'!Q7","4","#,##0","False","False",""
"Exhibit 2","F30","30","6","'Staffing Expense'!V7","5","#,##0","False","False",""
"Exhibit 2","G30","30","7","'Staffing Expense'!AA7","7","#,##0","False","False",""
"Exhibit 2","B31","31","2","","Reinsurance","General","False","False",""
"Exhibit 2","C31","31","3","'Staffing Expense'!G8","0","#,##0","False","False",""
"Exhibit 2","D31","31","4","'Staffing Expense'!L8","2","#,##0","False","False",""
"Exhibit 2","E31","31","5","'Staffing Expense'!Q8","4","#,##0","False","False",""
"Exhibit 2","F31","31","6","'Staffing Expense'!V8","5","#,##0","False","False",""
"Exhibit 2","G31","31","7","'Staffing Expense'!AA8","6","#,##0","False","False",""
"Exhibit 2","B32","32","2","","Other","General","False","False",""
"Exhibit 2","C32","32","3","'Staffing Expense'!G13","1","#,##0","False","False",""
"Exhibit 2","D32","32","4","'Staffing Expense'!L13","2","#,##0","False","False",""
"Exhibit 2","E32","32","5","'Staffing Expense'!Q13","3","#,##0","False","False",""
"Exhibit 2","F32","32","6","'Staffing Expense'!V13","4","#,##0","False","False",""
"Exhibit 2","G32","32","7","'Staffing Expense'!AA13","5","#,##0","False","False",""
"Exhibit 2","B33","33","2","","Total","General","True","False",""
"Exhibit 2","C33","33","3","SUM(C24:C32)","11","#,##0","True","False",""
"Exhibit 2","D33","33","4","SUM(D24:D32)","32","#,##0","True","False",""
"Exhibit 2","E33","33","5","","46","#,##0","True","False",""
"Exhibit 2","F33","33","6","","59","#,##0","True","False",""
"Exhibit 2","G33","33","7","","74","#,##0","True","False",""
"Exhibit 3","B4","4","2","","Year","General","True","False",""
"Exhibit 3","C4","4","3","","2026","General","True","False",""
"Exhibit 3","D4","4","4","","2027","General","True","False",""
"Exhibit 3","E4","4","5","","2028","General","True","False",""
"Exhibit 3","F4","4","6","","2029","General","True","False",""
"Exhibit 3","G4","4","7","","2030","General","True","False",""
"Exhibit 3","B5","5","2","","Net Earned Premium","General","False","False",""
"Exhibit 3","C5","5","3","'Revenue Summary'!G5","318000","""$""0.0,,""M""","False","False",""
"Exhibit 3","D5","5","4","'Revenue Summary'!L5","4702540","""$""0.0,,""M""","False","False",""
"Exhibit 3","E5","5","5","'Revenue Summary'!Q5","23019912.1875","""$""0.0,,""M""","False","False",""
"Exhibit 3","F5","5","6","'Revenue Summary'!V5","78497861.25","""$""0.0,,""M""","False","False",""
"Exhibit 3","G5","5","7","'Revenue Summary'!AA5","210086440.9375","""$""0.0,,""M""","False","False",""
"Exhibit 3","B6","6","2","","Fronting Fees","General","False","False",""
"Exhibit 3","C6","6","3","'Revenue Summary'!G6","455131.25","""$""0.0,,""M""","False","False",""
"Exhibit 3","D6","6","4","'Revenue Summary'!L6","2874596.875","""$""0.0,,""M""","False","False",""
"Exhibit 3","E6","6","5","'Revenue Summary'!Q6","6223301.5625","""$""0.0,,""M""","False","False",""
"Exhibit 3","F6","6","6","'Revenue Summary'!V6","11372452.34375","""$""0.0,,""M""","False","False",""
"Exhibit 3","G6","6","7","'Revenue Summary'!AA6","19596178.515625","""$""0.0,,""M""","False","False",""
"Exhibit 3","B7","7","2","","Inv Income","General","False","False",""
"Exhibit 3","C7","7","3","'Revenue Summary'!G10","288318.76109273545","""$""0.0,,""M""","False","False",""
"Exhibit 3","D7","7","4","'Revenue Summary'!L10","518531.62702251336","""$""0.0,,""M""","False","False",""
"Exhibit 3","E7","7","5","'Revenue Summary'!Q10","1594784.1262027996","""$""0.0,,""M""","False","False",""
"Exhibit 3","F7","7","6","'Revenue Summary'!V10","2251073.6018996593","""$""0.0,,""M""","False","False",""
"Exhibit 3","G7","7","7","'Revenue Summary'!AA10","3398625.264129445","""$""0.0,,""M""","False","False",""
"Exhibit 3","B8","8","2","","Other","General","False","False",""
"Exhibit 3","C8","8","3","'Revenue Summary'!G14-C7","0","""$""0.0,,""M""","False","False",""
"Exhibit 3","D8","8","4","'Revenue Summary'!L14-D7","0","""$""0.0,,""M""","False","False",""
"Exhibit 3","E8","8","5","'Revenue Summary'!Q14-E7","0","""$""0.0,,""M""","False","False",""
"Exhibit 3","F8","8","6","'Revenue Summary'!V14-F7","0","""$""0.0,,""M""","False","False",""
"Exhibit 3","G8","8","7","'Revenue Summary'!AA14-G7","0","""$""0.0,,""M""","False","False",""
"Exhibit 3","B9","9","2","","Total Revenue","General","True","False",""
"Exhibit 3","C9","9","3","SUM(C5:C8)","1061450.0110927355","""$""0.0,,""M""","True","False",""
"Exhibit 3","D9","9","4","","8095668.5020225132","""$""0.0,,""M""","True","False",""
"Exhibit 3","E9","9","5","","30837997.876202799","""$""0.0,,""M""","True","False",""
"Exhibit 3","F9","9","6","","92121387.195649654","""$""0.0,,""M""","True","False",""
"Exhibit 3","G9","9","7","SUM(G5:G8)","233081244.71725446","""$""0.0,,""M""","True","False",""
"Exhibit 3","B11","11","2","","Net Losses and LAE","General","False","False",""
"Exhibit 3","C11","11","3","'Expense Summary'!G5","63600","""$""0.0,,""M""","False","False",""
"Exhibit 3","D11","11","4","'Expense Summary'!L5","1359634","""$""0.0,,""M""","False","False",""
"Exhibit 3","E11","11","5","'Expense Summary'!Q5","7671604.875","""$""0.0,,""M""","False","False",""
"Exhibit 3","F11","11","6","'Expense Summary'!V5","28306651.78125","""$""0.0,,""M""","False","False",""
"Exhibit 3","G11","11","7","'Expense Summary'!AA5","79346716.140625","""$""0.0,,""M""","False","False",""
"Exhibit 3","B12","12","2","","Net Commission","General","False","False",""
"Exhibit 3","C12","12","3","'Expense Summary'!G6","138237.5","""$""0.0,,""M""","False","False",""
"Exhibit 3","D12","12","4","'Expense Summary'!L6","1237992.25","""$""0.0,,""M""","False","False",""
"Exhibit 3","E12","12","5","'Expense Summary'!Q6","6776882.1875","""$""0.0,,""M""","False","False",""
"Exhibit 3","F12","12","6","'Expense Summary'!V6","28977393.78125","""$""0.0,,""M""","False","False",""
"Exhibit 3","G12","12","7","'Expense Summary'!AA6","86697497.265625","""$""0.0,,""M""","False","False",""
"Exhibit 3","B13","13","2","","Other UW Expense","General","False","False",""
"Exhibit 3","C13","13","3","SUM('Expense Summary'!G7:G8)","0","""$""0.0,,""M""","False","False",""
"Exhibit 3","D13","13","4","SUM('Expense Summary'!L7:L8)","0","""$""0.0,,""M""","False","False",""
"Exhibit 3","E13","13","5","SUM('Expense Summary'!Q7:Q8)","37500","""$""0.0,,""M""","False","False",""
"Exhibit 3","F13","13","6","SUM('Expense Summary'!V7:V8)","90000","""$""0.0,,""M""","False","False",""
"Exhibit 3","G13","13","7","SUM('Expense Summary'!AA7:AA8)","300000","""$""0.0,,""M""","False","False",""
"Exhibit 3","B14","14","2","","Staffing","General","False","False",""
"Exhibit 3","C14","14","3","'Expense Summary'!G12","1284375","""$""0.0,,""M""","False","False",""
"Exhibit 3","D14","14","4","'Expense Summary'!L12","6586781.25","""$""0.0,,""M""","False","False",""
"Exhibit 3","E14","14","5","'Expense Summary'!Q12","11661004.6875","""$""0.0,,""M""","False","False",""
"Exhibit 3","F14","14","6","'Expense Summary'!V12","15559927.03125","""$""0.0,,""M""","False","False",""
"Exhibit 3","G14","14","7","'Expense Summary'!AA12","20414427.46875","""$""0.0,,""M""","False","False",""
"Exhibit 3","B15","15","2","","Other","General","False","False",""
"Exhibit 3","C15","15","3","'Expense Summary'!G13","1244250","""$""0.0,,""M""","False","False",""
"Exhibit 3","D15","15","4","'Expense Summary'!L13","2696000","""$""0.0,,""M""","False","False",""
"Exhibit 3","E15","15","5","'Expense Summary'!Q13","4921000","""$""0.0,,""M""","False","False",""
"Exhibit 3","F15","15","6","'Expense Summary'!V13","8816000","""$""0.0,,""M""","False","False",""
"Exhibit 3","G15","15","7","'Expense Summary'!AA13","16091000","""$""0.0,,""M""","False","False",""
"Exhibit 3","B16","16","2","","Total Expenses","General","True","False",""
"Exhibit 3","C16","16","3","SUM(C11:C15)","2730462.5","""$""0.0,,""M""","True","False",""
"Exhibit 3","D16","16","4","SUM(D11:D15)","11880407.5","""$""0.0,,""M""","True","False",""
"Exhibit 3","E16","16","5","","31067991.75","""$""0.0,,""M""","True","False",""
"Exhibit 3","F16","16","6","","81749972.59375","""$""0.0,,""M""","True","False",""
