"TabName","AssumptionID","Address","Section","DataType","DefaultValue","Description"
"UW Inputs","UWIN_S5P1_CAT5","$I$78","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P1_OTH5","$N$78","UW Inputs","Number","0",""
"UW Inputs","UWIN_S1P2_BU","$B$7","UW Inputs","Text","West",""
"UW Inputs","UWIN_S1P2_NAME","$C$7","UW Inputs","Text","High Premium",""
"UW Inputs","UWIN_S1P2_TERM","$D$7","UW Inputs","Number","12",""
"UW Inputs","UWIN_S1P2_GWP1","$E$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP2","$F$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP3","$G$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP4","$H$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP5","$I$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP6","$J$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP7","$K$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP8","$L$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP9","$M$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP10","$N$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP11","$O$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP12","$P$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP13","$Q$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP14","$R$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP15","$S$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP16","$T$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP17","$U$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP18","$V$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP19","$W$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GWP20","$X$7","UW Inputs","Number","2000000",""
"UW Inputs","UWIN_S1P2_GROW","$Y$7","UW Inputs","Pct","0",""
"UW Inputs","UWIN_S2P2_COMM1","$E$20","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P2_COMM2","$F$20","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P2_COMM3","$G$20","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P2_COMM4","$H$20","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P2_COMM5","$I$20","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S3P2A_PAT","$D$35","UW Inputs","Text","Casualty",""
"UW Inputs","UWIN_S3P2A_LD","$E$35","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P2A_CD","$F$35","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P2A_ELR1","$G$35","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P2A_ELR2","$H$35","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P2A_ELR3","$I$35","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P2A_ELR4","$J$35","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P2A_SEV","$K$35","UW Inputs","Number","50000",""
"UW Inputs","UWIN_S3P2S_PAT","$D$36","UW Inputs","Text","Casualty",""
"UW Inputs","UWIN_S3P2S_LD","$E$36","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P2S_CD","$F$36","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P2S_ELR1","$G$36","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P2S_ELR2","$H$36","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P2S_ELR3","$I$36","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P2S_ELR4","$J$36","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P2S_SEV","$K$36","UW Inputs","Number","150000",""
"UW Inputs","UWIN_S3P2C_PAT","$D$37","UW Inputs","Text","Property",""
"UW Inputs","UWIN_S3P2C_LD","$E$37","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P2C_CD","$F$37","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P2C_ELR1","$G$37","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P2C_ELR2","$H$37","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P2C_ELR3","$I$37","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P2C_ELR4","$J$37","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P2C_SEV","$K$37","UW Inputs","Number","100000",""
"UW Inputs","UWIN_S4P2_CEDE1","$E$66","UW Inputs","Pct","1",""
"UW Inputs","UWIN_S4P2_COMM1","$F$66","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P2_FEE1","$G$66","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P2_CEDE2","$H$66","UW Inputs","Pct","1",""
"UW Inputs","UWIN_S4P2_COMM2","$I$66","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P2_FEE2","$J$66","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P2_CEDE3","$K$66","UW Inputs","Pct","1",""
"UW Inputs","UWIN_S4P2_COMM3","$L$66","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P2_FEE3","$M$66","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P2_CEDE4","$N$66","UW Inputs","Pct","1",""
"UW Inputs","UWIN_S4P2_COMM4","$O$66","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P2_FEE4","$P$66","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P2_CEDE5","$Q$66","UW Inputs","Pct","1",""
"UW Inputs","UWIN_S4P2_COMM5","$R$66","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P2_FEE5","$S$66","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S5P2_CAT1","$E$79","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P2_OTH1","$J$79","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P2_CAT2","$F$79","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P2_OTH2","$K$79","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P2_CAT3","$G$79","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P2_OTH3","$L$79","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P2_CAT4","$H$79","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P2_OTH4","$M$79","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P2_CAT5","$I$79","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P2_OTH5","$N$79","UW Inputs","Number","0",""
"UW Inputs","UWIN_S1P3_BU","$B$8","UW Inputs","Text","West",""
"UW Inputs","UWIN_S1P3_NAME","$C$8","UW Inputs","Text","High Attr ELR",""
"UW Inputs","UWIN_S1P3_TERM","$D$8","UW Inputs","Number","12",""
"UW Inputs","UWIN_S1P3_GWP1","$E$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP2","$F$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP3","$G$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP4","$H$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP5","$I$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP6","$J$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP7","$K$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP8","$L$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP9","$M$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP10","$N$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP11","$O$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP12","$P$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP13","$Q$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP14","$R$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP15","$S$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP16","$T$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP17","$U$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP18","$V$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP19","$W$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GWP20","$X$8","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P3_GROW","$Y$8","UW Inputs","Pct","0",""
"UW Inputs","UWIN_S2P3_COMM1","$E$21","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P3_COMM2","$F$21","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P3_COMM3","$G$21","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P3_COMM4","$H$21","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S2P3_COMM5","$I$21","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S3P3A_PAT","$D$38","UW Inputs","Text","Casualty",""
"UW Inputs","UWIN_S3P3A_LD","$E$38","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P3A_CD","$F$38","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P3A_ELR1","$G$38","UW Inputs","Pct","0.7",""
"UW Inputs","UWIN_S3P3A_ELR2","$H$38","UW Inputs","Pct","0.7",""
"UW Inputs","UWIN_S3P3A_ELR3","$I$38","UW Inputs","Pct","0.7",""
"UW Inputs","UWIN_S3P3A_ELR4","$J$38","UW Inputs","Pct","0.7",""
"UW Inputs","UWIN_S3P3A_SEV","$K$38","UW Inputs","Number","50000",""
"UW Inputs","UWIN_S3P3S_PAT","$D$39","UW Inputs","Text","Casualty",""
"UW Inputs","UWIN_S3P3S_LD","$E$39","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P3S_CD","$F$39","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P3S_ELR1","$G$39","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P3S_ELR2","$H$39","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P3S_ELR3","$I$39","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P3S_ELR4","$J$39","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P3S_SEV","$K$39","UW Inputs","Number","150000",""
"UW Inputs","UWIN_S3P3C_PAT","$D$40","UW Inputs","Text","Property",""
"UW Inputs","UWIN_S3P3C_LD","$E$40","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P3C_CD","$F$40","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P3C_ELR1","$G$40","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P3C_ELR2","$H$40","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P3C_ELR3","$I$40","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P3C_ELR4","$J$40","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P3C_SEV","$K$40","UW Inputs","Number","100000",""
"UW Inputs","UWIN_S4P3_CEDE1","$E$67","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P3_COMM1","$F$67","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P3_FEE1","$G$67","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P3_CEDE2","$H$67","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P3_COMM2","$I$67","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P3_FEE2","$J$67","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P3_CEDE3","$K$67","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P3_COMM3","$L$67","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P3_FEE3","$M$67","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P3_CEDE4","$N$67","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P3_COMM4","$O$67","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P3_FEE4","$P$67","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P3_CEDE5","$Q$67","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P3_COMM5","$R$67","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P3_FEE5","$S$67","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S5P3_CAT1","$E$80","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P3_OTH1","$J$80","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P3_CAT2","$F$80","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P3_OTH2","$K$80","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P3_CAT3","$G$80","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P3_OTH3","$L$80","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P3_CAT4","$H$80","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P3_OTH4","$M$80","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P3_CAT5","$I$80","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P3_OTH5","$N$80","UW Inputs","Number","0",""
"UW Inputs","UWIN_S1P4_BU","$B$9","UW Inputs","Text","West",""
"UW Inputs","UWIN_S1P4_NAME","$C$9","UW Inputs","Text","High Commission",""
"UW Inputs","UWIN_S1P4_TERM","$D$9","UW Inputs","Number","12",""
"UW Inputs","UWIN_S1P4_GWP1","$E$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP2","$F$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP3","$G$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP4","$H$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP5","$I$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP6","$J$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP7","$K$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP8","$L$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP9","$M$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP10","$N$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP11","$O$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP12","$P$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP13","$Q$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP14","$R$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP15","$S$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP16","$T$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP17","$U$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP18","$V$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP19","$W$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GWP20","$X$9","UW Inputs","Number","1000000",""
"UW Inputs","UWIN_S1P4_GROW","$Y$9","UW Inputs","Pct","0",""
"UW Inputs","UWIN_S2P4_COMM1","$E$22","UW Inputs","Pct","0.3",""
"UW Inputs","UWIN_S2P4_COMM2","$F$22","UW Inputs","Pct","0.3",""
"UW Inputs","UWIN_S2P4_COMM3","$G$22","UW Inputs","Pct","0.3",""
"UW Inputs","UWIN_S2P4_COMM4","$H$22","UW Inputs","Pct","0.3",""
"UW Inputs","UWIN_S2P4_COMM5","$I$22","UW Inputs","Pct","0.3",""
"UW Inputs","UWIN_S3P4A_PAT","$D$41","UW Inputs","Text","Casualty",""
"UW Inputs","UWIN_S3P4A_LD","$E$41","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P4A_CD","$F$41","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P4A_ELR1","$G$41","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P4A_ELR2","$H$41","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P4A_ELR3","$I$41","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P4A_ELR4","$J$41","UW Inputs","Pct","0.55",""
"UW Inputs","UWIN_S3P4A_SEV","$K$41","UW Inputs","Number","50000",""
"UW Inputs","UWIN_S3P4S_PAT","$D$42","UW Inputs","Text","Casualty",""
"UW Inputs","UWIN_S3P4S_LD","$E$42","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P4S_CD","$F$42","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P4S_ELR1","$G$42","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P4S_ELR2","$H$42","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P4S_ELR3","$I$42","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P4S_ELR4","$J$42","UW Inputs","Pct","0.1",""
"UW Inputs","UWIN_S3P4S_SEV","$K$42","UW Inputs","Number","150000",""
"UW Inputs","UWIN_S3P4C_PAT","$D$43","UW Inputs","Text","Property",""
"UW Inputs","UWIN_S3P4C_LD","$E$43","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P4C_CD","$F$43","UW Inputs","Number","50",""
"UW Inputs","UWIN_S3P4C_ELR1","$G$43","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P4C_ELR2","$H$43","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P4C_ELR3","$I$43","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P4C_ELR4","$J$43","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S3P4C_SEV","$K$43","UW Inputs","Number","100000",""
"UW Inputs","UWIN_S4P4_CEDE1","$E$68","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P4_COMM1","$F$68","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P4_FEE1","$G$68","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P4_CEDE2","$H$68","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P4_COMM2","$I$68","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P4_FEE2","$J$68","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P4_CEDE3","$K$68","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P4_COMM3","$L$68","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P4_FEE3","$M$68","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P4_CEDE4","$N$68","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P4_COMM4","$O$68","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P4_FEE4","$P$68","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S4P4_CEDE5","$Q$68","UW Inputs","Pct","0.9",""
"UW Inputs","UWIN_S4P4_COMM5","$R$68","UW Inputs","Pct","0.25",""
"UW Inputs","UWIN_S4P4_FEE5","$S$68","UW Inputs","Pct","0.05",""
"UW Inputs","UWIN_S5P4_CAT1","$E$81","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P4_OTH1","$J$81","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P4_CAT2","$F$81","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P4_OTH2","$K$81","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P4_CAT3","$G$81","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P4_OTH3","$L$81","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P4_CAT4","$H$81","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P4_OTH4","$M$81","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P4_CAT5","$I$81","UW Inputs","Number","0",""
"UW Inputs","UWIN_S5P4_OTH5","$N$81","UW Inputs","Number","0",""
"UW Inputs","UWIN_S1P5_BU","$B$10","UW Inputs","Text","West",""
